,非洲獅,非洲象,大猩猩,灣鱷,蜜獾,蘇門答臘虎,海豚,科摩多龍,獵豹,北極狐,紅袋鼠,遊隼,黑斑羚,貓頭鷹,穿山甲,加拉巴哥象龜,非洲野犬,鬣狗,疣豬,山豬,駱駝,豪豬,火雞,美洲野牛,犛牛,大耳狐,水鹿,麋鹿,狐獴,黃鼠狼,長臂猿,食蟻獸,鴨嘴獸,樹懶,藍鯨,大白鯊,河馬,北極熊,犀牛,花豹,灰狼,狼獾,麝牛,長頸鹿,蟒蛇,人,鵜鶘,丹頂鶴,虎鯨,鴕鳥,雪豹,白頭海鵰,電鰻,雪鴞,乳牛,擬態章魚,海獺,浣熊,蠍子,皇帝企鵝,犰狳,孔雀,箭毒蛙,蘭花螳螂
遊隼,21.7%,26.0%,23.7%,29.6%,26.4%,27.3%,33.8%,33.7%,37.6%,39.5%,42.1%,-,57.7%,55.6%,63.9%,66.4%,43.7%,24.4%,41.2%,24.8%,38.7%,62.0%,76.9%,25.1%,31.4%,62.6%,41.5%,33.2%,62.9%,59.5%,42.5%,55.9%,59.8%,76.3%,25.2%,18.0%,21.4%,20.4%,24.4%,25.2%,23.4%,26.2%,28.8%,33.2%,44.0%,56.9%,63.3%,63.9%,7.2%,39.3%,42.2%,43.4%,46.7%,50.2%,50.5%,53.7%,53.4%,56.6%,59.8%,62.9%,67.5%,73.7%,73.0%,84.0%
黑斑羚,15.5%,20.9%,16.5%,24.1%,18.9%,19.5%,23.4%,23.5%,28.5%,28.6%,31.1%,42.3%,-,45.1%,62.6%,66.3%,34.1%,16.5%,33.3%,15.4%,28.6%,58.9%,74.1%,18.5%,22.5%,56.8%,31.0%,23.1%,56.2%,52.5%,33.4%,43.5%,45.9%,73.7%,18.2%,13.0%,14.7%,16.0%,18.7%,18.3%,15.9%,18.8%,21.4%,23.2%,36.0%,52.6%,49.7%,53.8%,5.8%,28.2%,30.6%,33.3%,31.9%,42.4%,39.2%,44.0%,40.4%,47.1%,53.8%,50.9%,63.7%,67.8%,72.2%,83.8%
貓頭鷹,10.5%,19.0%,12.9%,20.9%,13.2%,15.5%,23.1%,22.3%,29.8%,30.3%,30.0%,44.4%,54.9%,-,61.4%,65.1%,33.0%,9.8%,27.1%,9.9%,28.3%,59.7%,79.9%,14.7%,21.8%,58.8%,29.7%,19.0%,59.6%,54.6%,35.8%,48.8%,55.0%,77.6%,17.5%,8.9%,14.0%,9.9%,17.7%,13.7%,10.6%,11.9%,17.7%,19.4%,34.0%,54.3%,59.4%,59.4%,2.8%,29.2%,30.1%,32.9%,36.4%,42.0%,43.5%,49.7%,46.9%,52.8%,55.9%,59.9%,65.1%,75.4%,71.7%,86.8%
穿山甲,16.8%,19.9%,16.5%,21.0%,19.5%,20.8%,23.5%,23.7%,26.6%,27.4%,29.4%,36.1%,37.4%,38.6%,-,56.8%,29.8%,17.5%,32.3%,17.5%,26.9%,40.9%,52.2%,18.2%,22.1%,44.2%,30.2%,23.4%,48.4%,43.0%,29.2%,37.6%,38.1%,56.9%,17.9%,14.0%,15.5%,16.2%,18.3%,18.1%,16.9%,19.8%,22.3%,23.3%,30.3%,41.8%,40.5%,42.8%,6.6%,27.1%,30.7%,28.8%,30.9%,35.5%,33.4%,34.6%,34.7%,37.1%,44.7%,41.0%,49.3%,48.2%,59.1%,66.2%
加拉巴哥象龜,16.0%,18.5%,17.1%,19.8%,19.2%,20.7%,22.6%,22.6%,23.8%,24.8%,27.8%,33.6%,33.7%,34.9%,43.2%,-,27.4%,16.7%,30.5%,17.1%,26.1%,36.2%,46.1%,17.6%,21.8%,39.6%,27.3%,22.4%,43.5%,38.5%,27.9%,34.2%,36.2%,50.4%,17.5%,14.2%,15.1%,14.8%,17.2%,18.0%,17.2%,18.4%,21.5%,22.1%,27.8%,37.4%,37.4%,38.3%,7.1%,25.5%,28.4%,27.2%,28.7%,31.7%,31.4%,30.8%,32.0%,33.6%,39.3%,37.4%,44.2%,43.1%,52.6%,57.5%
非洲野犬,23.2%,29.1%,26.2%,32.3%,29.1%,31.8%,40.4%,37.3%,44.4%,47.1%,51.2%,56.3%,65.9%,67.0%,70.2%,72.6%,-,24.3%,49.9%,25.9%,45.5%,68.5%,87.9%,27.3%,36.7%,73.7%,50.7%,35.4%,71.9%,68.3%,50.5%,68.2%,73.2%,85.2%,28.1%,19.6%,25.1%,21.4%,27.1%,27.5%,25.1%,27.8%,35.1%,37.1%,48.5%,65.6%,76.1%,74.3%,6.8%,44.9%,50.9%,50.6%,56.5%,58.1%,58.4%,62.5%,63.3%,65.8%,68.8%,75.7%,75.2%,85.7%,79.7%,91.3%
鬣狗,45.1%,47.8%,44.7%,50.8%,59.6%,57.1%,65.0%,66.5%,67.9%,72.1%,82.8%,75.6%,83.5%,90.2%,82.5%,83.3%,75.7%,-,88.0%,57.0%,74.5%,84.0%,98.6%,49.6%,60.4%,91.0%,83.4%,66.0%,88.8%,87.3%,73.7%,92.4%,94.3%,95.6%,43.0%,37.2%,43.5%,40.6%,42.9%,48.6%,51.0%,59.7%,61.4%,66.8%,68.2%,80.0%,95.8%,94.2%,12.4%,72.9%,83.1%,76.2%,83.5%,80.8%,82.0%,82.6%,86.0%,87.5%,87.1%,96.0%,89.2%,97.5%,90.9%,97.1%
疣豬,15.7%,22.1%,22.4%,25.7%,17.4%,26.6%,36.8%,32.4%,47.4%,45.1%,49.3%,58.8%,66.7%,72.9%,67.7%,69.5%,50.1%,12.0%,-,10.2%,44.8%,70.3%,95.5%,21.5%,33.8%,79.9%,51.5%,29.9%,76.7%,73.4%,50.3%,77.0%,86.5%,90.5%,23.3%,13.1%,20.8%,9.2%,23.7%,20.3%,15.3%,12.7%,30.3%,30.9%,47.8%,66.7%,88.0%,82.8%,2.1%,46.1%,50.0%,50.0%,62.2%,59.7%,61.8%,66.2%,70.5%,70.9%,71.9%,87.7%,79.1%,93.7%,83.8%,94.8%
山豬,40.5%,44.8%,39.4%,48.4%,54.0%,52.1%,61.6%,63.7%,65.6%,72.6%,85.2%,75.2%,84.6%,90.1%,82.5%,82.9%,74.1%,43.0%,89.8%,-,72.2%,85.2%,98.4%,45.2%,56.2%,91.8%,81.5%,62.5%,86.6%,87.9%,74.0%,93.0%,93.9%,96.3%,39.7%,31.6%,37.2%,39.2%,39.9%,44.2%,44.6%,56.6%,59.2%,64.6%,66.3%,78.5%,96.7%,94.7%,8.5%,72.7%,85.4%,73.6%,83.4%,80.3%,83.1%,82.1%,86.2%,87.6%,86.3%,96.5%,89.4%,97.7%,90.1%,97.5%
駱駝,25.1%,31.9%,27.5%,33.4%,31.4%,33.5%,43.5%,40.8%,49.2%,50.4%,55.7%,61.3%,71.4%,71.7%,73.1%,73.9%,54.5%,25.5%,55.2%,27.8%,-,74.4%,93.7%,29.2%,39.5%,78.2%,56.1%,39.7%,74.9%,73.5%,55.2%,74.1%,79.4%,89.2%,28.9%,19.9%,26.1%,21.9%,28.9%,29.1%,26.5%,30.4%,37.0%,41.2%,51.6%,69.3%,82.0%,80.3%,6.2%,51.1%,56.0%,53.9%,61.8%,62.5%,64.0%,67.8%,68.5%,71.8%,72.5%,82.0%,79.7%,90.8%,83.0%,94.2%
